candidate,family,profile_name,runs,mean_terminal_potential_metric,mean_terminal_path_ready,mean_scharf_dependency_progress,mean_scharf_research_progress,mean_scharf_construction_progress,mean_step_unlock_progress_metric,mean_step_required_buildings_completed,mean_step_required_techs_completed,mean_step_taler_income_per_cycle,mean_scharfschuetzen,mean_train_seconds
baseline_wait,baseline,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,9.5367431640625e-07
baseline_random,baseline,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,4.76837158203125e-07
