candidate,family,profile_name,seed,timesteps,train_seconds,reward_overrides,config_overrides,runtime_overrides,effective_config,effective_runtime,mean_terminal_potential_metric,mean_terminal_path_ready,mean_scharf_dependency_progress,mean_scharf_research_progress,mean_scharf_construction_progress,mean_scharfschuetzen,mean_episode_length
custom_unlock_balanced,adaptive_reward,goal_v1,0,128,12.51363492012024,"{'terminal_dependency_bonus': 2.0, 'terminal_recruitable_bonus': 4.0, 'step_delta_progress_bonus': 0.8, 'step_delta_dependency_bonus': 0.4, 'step_delta_research_bonus': 0.4, 'step_delta_construction_bonus': 0.4, 'step_unlock_recruitable_bonus': 8.0, 'step_worker_growth_bonus': 0.05, 'action_buy_serf_growth_bonus': 0.05, 'action_assign_spawned_serf_bonus': 0.02, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.0,1034.0
custom_unlock_research,adaptive_reward,goal_v1,0,128,9.97223424911499,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 3.0, 'step_progress_mix_construction': 1.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 1.5, 'step_delta_construction_bonus': 0.3, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.0,1055.75
custom_unlock_construction,adaptive_reward,goal_v1,0,128,9.779555082321167,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 3.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 0.3, 'step_delta_construction_bonus': 1.5, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.0,1055.75
custom_dependency_heavy,adaptive_reward,goal_v1,0,128,10.625377416610718,"{'terminal_dependency_bonus': 3.0, 'terminal_recruitable_bonus': 6.0, 'step_progress_mix_dependency': 3.0, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 1.0, 'step_delta_progress_bonus': 1.0, 'step_delta_dependency_bonus': 1.8, 'step_delta_research_bonus': 0.2, 'step_delta_construction_bonus': 0.2, 'step_unlock_recruitable_bonus': 12.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.0,1055.75
custom_economy_bootstrap,adaptive_reward,goal_v1,0,128,12.704398155212402,"{'terminal_dependency_bonus': 1.5, 'terminal_recruitable_bonus': 3.0, 'step_delta_progress_bonus': 0.4, 'step_delta_dependency_bonus': 0.2, 'step_delta_research_bonus': 0.2, 'step_delta_construction_bonus': 0.2, 'step_worker_growth_bonus': 0.12, 'action_buy_serf_growth_bonus': 0.15, 'action_assign_spawned_serf_bonus': 0.08, 'step_unlock_recruitable_bonus': 6.0, 'step_time_penalty': 0.0}","{'learning_rate': 0.0003, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.015}",{},"{'learning_rate': 0.0003, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.015}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.0,1032.25
custom_hybrid_current,adaptive_reward,goal_v1,0,128,9.45940113067627,"{'terminal_dependency_bonus': 1.5, 'terminal_recruitable_bonus': 4.0, 'terminal_potential_bonus_per_unit': 8.0, 'terminal_potential_use_cumulative_earnings': 0.0, 'step_delta_potential_bonus': 0.8, 'step_new_resource_potential_unit_bonus': 1.2, 'step_potential_use_cumulative_earnings': 0.0, 'step_delta_progress_bonus': 0.3, 'step_delta_dependency_bonus': 0.2, 'step_delta_research_bonus': 0.2, 'step_delta_construction_bonus': 0.2, 'step_unlock_recruitable_bonus': 4.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.0002, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.0002, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.0,1034.25
custom_hybrid_cumulative,adaptive_reward,goal_v1,0,128,9.987483024597168,"{'terminal_dependency_bonus': 1.5, 'terminal_recruitable_bonus': 4.0, 'terminal_potential_bonus_per_unit': 8.0, 'terminal_potential_use_cumulative_earnings': 1.0, 'step_delta_potential_bonus': 0.8, 'step_new_resource_potential_unit_bonus': 1.2, 'step_potential_use_cumulative_earnings': 1.0, 'step_delta_progress_bonus': 0.3, 'step_delta_dependency_bonus': 0.2, 'step_delta_research_bonus': 0.2, 'step_delta_construction_bonus': 0.2, 'step_unlock_recruitable_bonus': 4.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.0002, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.0002, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.0,1034.25
custom_force_progress,adaptive_reward,goal_v1,0,128,13.939836502075195,"{'terminal_dependency_bonus': 2.0, 'terminal_recruitable_bonus': 4.0, 'step_delta_progress_bonus': 1.2, 'step_delta_dependency_bonus': 0.7, 'step_delta_research_bonus': 0.7, 'step_delta_construction_bonus': 0.7, 'step_unlock_recruitable_bonus': 12.0, 'step_time_penalty': 0.003}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.015}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.015}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.0,1067.0
