candidate,family,profile_name,seed,timesteps,train_seconds,reward_overrides,config_overrides,runtime_overrides,effective_config,effective_runtime,mean_terminal_potential_metric,mean_terminal_path_ready,mean_scharf_dependency_progress,mean_scharf_research_progress,mean_scharf_construction_progress,mean_step_unlock_progress_metric,mean_step_required_buildings_completed,mean_step_required_techs_completed,mean_step_taler_income_per_cycle,mean_scharfschuetzen,mean_episode_length
custom_unlock_construction_unlock_x2,adaptive_reward_round,goal_v1,0,32,4.761467695236206,"{'terminal_dependency_bonus': 5.0, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 3.0, 'step_delta_progress_bonus': 1.8, 'step_delta_research_bonus': 0.3, 'step_delta_construction_bonus': 1.5, 'step_delta_dependency_bonus': 1.0, 'step_unlock_recruitable_bonus': 20.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.0003, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.02}",{},"{'learning_rate': 0.0003, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.02}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1001.75
custom_unlock_construction_research_focus,adaptive_reward_round,goal_v1,0,32,5.5696375370025635,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 3.0, 'step_progress_mix_construction': 1.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 0.8, 'step_delta_construction_bonus': 1.5, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_unlock_construction_construction_focus,adaptive_reward_round,goal_v1,0,32,4.744524240493774,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 3.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 0.3, 'step_delta_construction_bonus': 3.0, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_unlock_construction_stock_probe,adaptive_reward_round,goal_v1,0,32,4.4754798412323,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 3.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 0.3, 'step_delta_construction_bonus': 1.5, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001, 'terminal_potential_use_cumulative_earnings': 0.0, 'step_potential_use_cumulative_earnings': 0.0, 'terminal_potential_bonus_per_unit': 6.0, 'step_delta_potential_bonus': 0.5, 'step_new_resource_potential_unit_bonus': 1.0}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_unlock_construction_path_ready_focus,adaptive_reward_round,goal_v1,0,32,4.649582624435425,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 3.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 0.3, 'step_delta_construction_bonus': 1.5, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001, 'terminal_path_ready_bonus': 10.0, 'step_path_ready_bonus': 20.0, 'step_required_building_complete_bonus': 6.0, 'step_required_tech_complete_bonus': 8.0}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.012}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.012}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_unlock_construction_milestone_focus,adaptive_reward_round,goal_v1,0,32,4.465587377548218,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 3.0, 'step_delta_progress_bonus': 1.35, 'step_delta_research_bonus': 0.3, 'step_delta_construction_bonus': 1.5, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001, 'step_unlock_milestone_bonus': 4.0, 'step_unlock_milestone_count': 6.0}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1062.5
custom_unlock_construction_income_focus,adaptive_reward_round,goal_v1,0,32,4.924543380737305,"{'terminal_dependency_bonus': 2.5, 'terminal_recruitable_bonus': 5.0, 'step_progress_mix_dependency': 0.5, 'step_progress_mix_research': 1.0, 'step_progress_mix_construction': 3.0, 'step_delta_progress_bonus': 0.9, 'step_delta_research_bonus': 0.3, 'step_delta_construction_bonus': 1.5, 'step_delta_dependency_bonus': 0.3, 'step_unlock_recruitable_bonus': 10.0, 'step_time_penalty': 0.001, 'step_worker_growth_bonus': 0.12, 'step_delta_taler_income_bonus': 0.04, 'action_buy_serf_growth_bonus': 0.12, 'action_assign_spawned_serf_bonus': 0.06}","{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'ent_coef': 0.01}",{},"{'learning_rate': 0.00025, 'n_steps': 64, 'batch_size': 32, 'n_epochs': 2, 'gamma': 0.999, 'gae_lambda': 0.95, 'clip_range': 0.2, 'ent_coef': 0.01}","{'use_spatial_obs': False, 'count_completed_actions_only': False, 'net_arch': [64], 'policy_mode': 'ppo'}",0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1006.25
