candidate,family,profile_name,runs,mean_terminal_potential_metric,mean_terminal_path_ready,mean_scharf_dependency_progress,mean_scharf_research_progress,mean_scharf_construction_progress,mean_step_unlock_progress_metric,mean_step_required_buildings_completed,mean_step_required_techs_completed,mean_step_taler_income_per_cycle,mean_scharfschuetzen,mean_train_seconds
custom_unlock_construction_unlock_x2,adaptive_reward_round,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,4.761467695236206
custom_unlock_construction_research_focus,adaptive_reward_round,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,5.5696375370025635
custom_unlock_construction_construction_focus,adaptive_reward_round,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,4.744524240493774
custom_unlock_construction_stock_probe,adaptive_reward_round,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,4.4754798412323
custom_unlock_construction_path_ready_focus,adaptive_reward_round,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,4.649582624435425
custom_unlock_construction_milestone_focus,adaptive_reward_round,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,4.465587377548218
custom_unlock_construction_income_focus,adaptive_reward_round,goal_v1,1,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,4.924543380737305
